,Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (US$),Net Weight(kg),Qty Unit
0,2012,M,United Kingdom,World,2711,"$12,724,313,221","31,752,937,334","31,752,937,334"
1,2012,M,United Kingdom,Algeria,2711,"$67,785,136","142,852,854","142,852,854"
2,2012,M,United Kingdom,Azerbaijan,2711,"$17,279",114,114
3,2012,M,United Kingdom,Austria,2711,"$1,030,923","1,050,495","1,050,495"
4,2012,M,United Kingdom,Belgium,2711,"$589,308,912","1,065,798,590","1,065,798,590"
5,2012,M,United Kingdom,Bulgaria,2711,"$4,724",138,138
6,2012,M,United Kingdom,China,2711,"$1,557,545","431,078","431,078"
7,2012,M,United Kingdom,Congo,2711,"$15,965,497","19,807,415","19,807,415"
8,2012,M,United Kingdom,Denmark,2711,"$22,895,366","29,112,331","29,112,331"
9,2012,M,United Kingdom,Equatorial Guinea,2711,"$11,083,901","13,000,592","13,000,592"
10,2012,M,United Kingdom,Falkland Isds (Malvinas),2711,"$1,562",253,253
11,2012,M,United Kingdom,Finland,2711,"$3,187,761","2,391,724","2,391,724"
12,2012,M,United Kingdom,France,2711,"$69,950,210","71,788,638","71,788,638"
13,2012,M,United Kingdom,Germany,2711,"$38,209,094","45,790,077","45,790,077"
14,2012,M,United Kingdom,Ghana,2711,"$7,787",422,422
15,2012,M,United Kingdom,Greece,2711,$395,1,1
16,2012,M,United Kingdom,"China, Hong Kong SAR",2711,"$22,145","9,846","9,846"
17,2012,M,United Kingdom,Ireland,2711,"$13,646,068","15,818,480","15,818,480"
18,2012,M,United Kingdom,Italy,2711,"$631,597","181,737","181,737"
19,2012,M,United Kingdom,Côte d'Ivoire,2711,"$2,161",196,196
20,2012,M,United Kingdom,Rep. of Korea,2711,"$3,397,356","1,323,978","1,323,978"
21,2012,M,United Kingdom,Latvia,2711,"$2,542,774","2,455,686","2,455,686"
22,2012,M,United Kingdom,"Other Asia, nes",2711,"$164,229","7,604","7,604"
23,2012,M,United Kingdom,Netherlands,2711,"$2,598,018,494","5,498,151,256","5,498,151,256"
24,2012,M,United Kingdom,New Zealand,2711,"$435,110","19,563","19,563"
25,2012,M,United Kingdom,Nigeria,2711,"$53,400,233","120,319,448","120,319,448"
26,2012,M,United Kingdom,Norway,2711,"$4,847,331,040","14,696,841,288","14,696,841,288"
27,2012,M,United Kingdom,Poland,2711,$980,103,103
28,2012,M,United Kingdom,Portugal,2711,"$72,703","10,599","10,599"
29,2012,M,United Kingdom,Qatar,2711,"$4,292,896,400","9,907,994,852","9,907,994,852"
30,2012,M,United Kingdom,Russian Federation,2711,"$10,830,183","9,551,556","9,551,556"
31,2012,M,United Kingdom,Saudi Arabia,2711,"$2,899,716","3,619,912","3,619,912"
32,2012,M,United Kingdom,India,2711,"$10,785",492,492
33,2012,M,United Kingdom,Viet Nam,2711,"$1,617",222,222
34,2012,M,United Kingdom,Spain,2711,"$6,608,129","7,038,664","7,038,664"
35,2012,M,United Kingdom,Sweden,2711,"$6,599,181","7,672,997","7,672,997"
36,2012,M,United Kingdom,Trinidad and Tobago,2711,"$4,216,161","4,168,330","4,168,330"
37,2012,M,United Kingdom,Egypt,2711,"$29,011,551","58,483,220","58,483,220"
38,2012,M,United Kingdom,United Rep. of Tanzania,2711,"$34,641",321,321
39,2012,M,United Kingdom,USA,2711,"$30,533,877","27,242,262","27,242,262"
40,2013,M,United Kingdom,World,2711,"$13,513,898,651","30,590,656,189","30,590,656,189"
41,2013,M,United Kingdom,Algeria,2711,"$155,488,310","247,838,055","247,838,055"
42,2013,M,United Kingdom,Argentina,2711,"$7,135,002","7,376,253","7,376,253"
43,2013,M,United Kingdom,Austria,2711,"$67,501","1,532","1,532"
44,2013,M,United Kingdom,Belgium,2711,"$1,495,852,535","2,517,913,541","2,517,913,541"
45,2013,M,United Kingdom,Bulgaria,2711,"$15,261","6,122","6,122"
46,2013,M,United Kingdom,China,2711,"$2,050,579","615,528","615,528"
47,2013,M,United Kingdom,Denmark,2711,"$20,892,855","27,041,271","27,041,271"
48,2013,M,United Kingdom,France,2711,"$44,397,117","42,864,260","42,864,260"
49,2013,M,United Kingdom,Germany,2711,"$35,194,603","38,413,927","38,413,927"
50,2013,M,United Kingdom,Ghana,2711,"$4,438",490,490
51,2013,M,United Kingdom,"China, Hong Kong SAR",2711,"$50,612","7,997","7,997"
52,2013,M,United Kingdom,Ireland,2711,"$16,730,697","19,083,991","19,083,991"
53,2013,M,United Kingdom,Italy,2711,"$199,712","31,467","31,467"
54,2013,M,United Kingdom,Kenya,2711,"$3,672",400,400
55,2013,M,United Kingdom,Rep. of Korea,2711,"$3,926,281","1,500,631","1,500,631"
56,2013,M,United Kingdom,Libya,2711,"$1,281",114,114
57,2013,M,United Kingdom,"Other Asia, nes",2711,"$267,255","91,540","91,540"
58,2013,M,United Kingdom,Netherlands,2711,"$3,178,617,936","5,958,999,480","5,958,999,480"
59,2013,M,United Kingdom,New Zealand,2711,"$324,312","15,575","15,575"
60,2013,M,United Kingdom,Norway,2711,"$5,337,538,399","15,088,897,373","15,088,897,373"
61,2013,M,United Kingdom,Portugal,2711,"$78,095","10,599","10,599"
62,2013,M,United Kingdom,Qatar,2711,"$3,098,667,969","6,404,655,122","6,404,655,122"
63,2013,M,United Kingdom,Russian Federation,2711,"$3,573,942","3,662,334","3,662,334"
64,2013,M,United Kingdom,India,2711,"$235,883","11,188","11,188"
65,2013,M,United Kingdom,Sweden,2711,"$12,634,976","15,221,698","15,221,698"
66,2013,M,United Kingdom,Trinidad and Tobago,2711,"$60,831,482","167,706,924","167,706,924"
67,2013,M,United Kingdom,Ukraine,2711,"$2,676,382","2,298,490","2,298,490"
68,2013,M,United Kingdom,United Kingdom,2711,"$1,165,154","4,746,168","4,746,168"
69,2013,M,United Kingdom,United Rep. of Tanzania,2711,"$38,000",798,798
70,2013,M,United Kingdom,USA,2711,"$35,238,409","41,643,321","41,643,321"
71,2014,M,United Kingdom,World,2711,"$12,763,962,075","33,788,868,460","33,788,868,460"
72,2014,M,United Kingdom,Algeria,2711,"$74,881,748","159,904,836","159,904,836"
73,2014,M,United Kingdom,Australia,2711,"$31,956","1,416","1,416"
74,2014,M,United Kingdom,Austria,2711,"$55,742",669,669
75,2014,M,United Kingdom,Belgium,2711,"$157,895,449","296,125,776","296,125,776"
